movieId,title,collaborative_score,similarity,hybrid_score
589.0,Terminator 2: Judgment Day (1991),1.0,0.0,0.6
858.0,"Godfather, The (1972)",0.8731553958680868,0.0,0.523893237520852
1200.0,Aliens (1986),0.8579494418067497,0.0,0.5147696650840498
2762.0,"Sixth Sense, The (1999)",0.8194035596430781,0.0,0.4916421357858468
3836.0,Kelly's Heroes (1970),0.09410377855365798,0.8367281646582062,0.49115353299547726
1221.0,"Godfather: Part II, The (1974)",0.7942824693419851,0.0,0.476569481605191
1036.0,Die Hard (1988),0.7011573723835589,0.0,0.42069442343013536
51575.0,Wild Hogs (2007),0.0,1.0,0.4
41828.0,Don't Look Now: We're Being Shot At (La grande vadrouille) (1966),0.0,1.0,0.4
1078.0,Bananas (1971),0.0,1.0,0.4
